Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C13,10nF,C_0402_1005Metric,132.344,-48.75,-90.0,top
C14,10nF,C_0402_1005Metric,128.144,-48.75,-90.0,top
C15,10nF,C_0402_1005Metric,125.144,-50.85,90.0,top
C16,10nF,C_0402_1005Metric,121.144,-50.85,90.0,top
C17,10nF,C_0402_1005Metric,117.204,-50.85,90.0,top
C18,10nF,C_0402_1005Metric,113.244,-50.85,90.0,top
C19,10nF,C_0402_1005Metric,109.284,-50.85,90.0,top
C20,10nF,C_0402_1005Metric,104.0,-100.05,-90.0,top
C21,10nF,C_0402_1005Metric,104.0,-102.55,-90.0,top
C22,10nF,C_0402_1005Metric,104.0,-105.05,-90.0,top
C23,10nF,C_0402_1005Metric,142.044,-48.65,-90.0,top
C24,10nF,C_0402_1005Metric,136.644,-48.76,-90.0,top
C25,10nF,C_0402_1005Metric,130.744,-49.25,0.0,top
C26,10nF,C_0402_1005Metric,127.044,-50.85,90.0,top
C27,10nF,C_0402_1005Metric,123.104,-50.85,90.0,top
C28,10nF,C_0402_1005Metric,119.144,-50.85,90.0,top
C29,10nF,C_0402_1005Metric,115.184,-50.85,90.0,top
C30,10nF,C_0402_1005Metric,111.224,-50.85,90.0,top
C31,10nF,C_0402_1005Metric,107.264,-50.85,90.0,top
C32,10nF,C_0402_1005Metric,104.0,-90.05,-90.0,top
C33,10nF,C_0402_1005Metric,104.0,-92.55,-90.0,top
C34,10nF,C_0402_1005Metric,104.0,-95.05,-90.0,top
C35,10nF,C_0402_1005Metric,139.344,-49.26,0.0,top
C36,10nF,C_0402_1005Metric,135.044,-49.25,0.0,top
C37,20nF,C_0402_1005Metric,137.864,-61.67,0.0,top
C38,10nF,C_0402_1005Metric,105.344,-50.85,90.0,top
C39,20nF,C_0402_1005Metric,130.164,-61.68,0.0,top
C45,1uF,C_0603_1608Metric,188.649,-73.9625,90.0,top
C46,1uF,C_0603_1608Metric,188.919,-90.25,90.0,top
J10,5V TO DE10,BarrelJack_Horizontal,191.125,-104.4,180.0,top
J9,CPS1 KICK,JST_EH_B10B-EH-A_1x10_P2.50mm_Vertical,98.594,-96.8,-90.0,top
